,url,creator,last_modified_by,product_name,quantity,brands,brands_tags,categories,categories_tags,categories_en,labels,labels_tags,labels_en,countries,countries_tags,countries_en,ingredients_text,ingredients_tags,ingredients_analysis_tags,serving_size,pnns_groups_1,pnns_groups_2,food_groups,food_groups_tags,food_groups_en,states,states_tags,states_en,nutrient_levels_tags,popularity_tags,main_category,main_category_en,image_url,image_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,created_datetime,last_modified_datetime,last_updated_datetime,nutriscore_grade,environmental_score_grade,last_image_datetime
29,1,1,1,1,1,8,8,3,3,3,59,59,59,6,31,31,1,1,6,40,12,8,8,8,8,2,2,2,3,1,3,3,1,1,1,1,1,1,69.0,44.0,37.0,4.0,4.0,56.0
30,1,12,12,1,38,1,1,1,1,1,1,1,1,1,1,1,1,1,17,1,63,63,64,64,64,1,1,1,62,1,1,1,1,1,58,58,55,55,42.0,66.0,26.0,6.0,7.0,74.0
31,1,5,12,1,1,1,1,1,1,1,1,1,1,6,31,31,53,53,46,12,63,63,64,64,64,1,1,1,62,1,4,4,22,22,58,58,55,55,71.0,74.0,43.0,6.0,7.0,22.0
32,1,8,27,1,38,1,1,36,36,36,1,2,2,4,6,6,53,53,7,1,63,63,64,64,64,1,1,1,62,20,36,36,1,1,58,58,1,1,35.0,24.0,38.0,6.0,,28.0
33,1,31,7,1,7,1,1,2,2,2,59,59,59,6,8,8,53,53,46,40,63,63,64,64,64,1,1,1,62,4,2,2,1,1,58,58,55,55,24.0,62.0,39.0,6.0,7.0,68.0
34,1,31,5,1,7,1,1,1,1,1,1,1,1,2,3,3,1,1,17,1,11,5,5,5,5,2,2,2,1,8,2,2,1,1,1,1,1,1,59.0,90.0,47.0,6.0,7.0,69.0
35,1,9,1,1,38,1,1,1,1,1,1,1,1,3,5,5,1,1,6,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,58,58,1,1,66.0,51.0,48.0,4.0,,60.0
36,1,2,12,1,1,1,1,1,1,1,3,3,3,1,31,31,1,1,17,1,63,63,64,64,64,1,1,1,62,1,1,1,1,1,1,1,55,55,2.0,61.0,7.0,6.0,7.0,67.0
37,1,12,9,1,1,2,2,1,1,1,59,59,59,6,8,8,1,1,1,40,63,63,64,64,64,1,1,1,62,1,1,1,1,1,1,1,1,1,73.0,32.0,32.0,6.0,7.0,42.0
38,1,7,4,1,1,1,1,36,36,36,59,59,59,4,10,10,53,53,46,1,63,63,64,64,64,2,2,2,62,20,36,36,1,1,58,58,1,1,90.0,56.0,40.0,6.0,7.0,65.0
39,1,31,12,1,38,1,1,36,36,36,1,3,3,1,1,1,1,1,6,1,63,63,64,64,64,1,1,1,62,20,36,36,1,1,1,1,55,55,58.0,39.0,41.0,6.0,,47.0
40,1,31,9,1,2,1,1,2,2,2,1,1,1,15,31,31,1,1,6,1,3,3,3,3,3,1,1,1,1,1,2,2,1,1,58,58,1,1,9.0,55.0,41.0,6.0,3.0,48.0
41,1,1,7,1,1,8,8,36,36,36,59,59,59,2,31,31,1,1,17,1,63,63,64,64,64,1,1,1,62,1,36,36,22,22,58,58,55,55,18.0,75.0,47.0,6.0,7.0,6.0
42,1,31,27,15,1,8,8,1,1,1,59,59,59,15,31,31,1,1,6,1,12,8,8,8,8,1,1,1,3,1,2,2,22,22,58,58,55,55,13.0,7.0,19.0,4.0,1.0,12.0
43,1,31,4,1,1,1,1,36,36,36,59,59,59,1,8,8,1,1,3,1,63,63,64,64,64,1,1,1,62,20,36,36,1,1,58,58,55,55,21.0,93.0,66.0,6.0,7.0,83.0
44,1,3,27,1,38,8,8,1,1,1,59,59,59,15,31,31,53,53,46,40,12,8,8,8,8,1,1,1,62,1,1,1,1,1,58,58,1,1,7.0,8.0,24.0,6.0,1.0,4.0
45,1,31,1,1,4,1,1,36,36,36,59,59,59,15,31,31,1,1,17,2,63,63,64,64,64,1,1,1,62,20,36,36,1,1,1,1,55,55,14.0,92.0,65.0,6.0,7.0,43.0
46,1,9,27,1,38,1,1,36,36,36,59,59,59,5,5,5,53,53,46,1,63,63,64,64,64,2,2,2,62,1,36,36,22,22,58,58,55,55,92.0,25.0,51.0,6.0,,
